Data	Modello	Punto	Descrizione	Risultato	Categoria	Spessore	Echi	Calo	Guadagno	Sonda	File UPR	File SWD
07/10/2021 12:43	520	WP57336 Q+	OP030 R03	Buono	Buono	1,81	6	1,46	30	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57334 Q+	OP020 R02	Buono	Buono	1,67	7	1,26	30	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57242 Q+	OP040 R01	Scarto	Nocciolo Piccolo	1,84	3	1,61	30	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57322 Q+	OP040 R01	Buono	Buono	1,84	3	3,86	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57256 Q+	OP040 R01	Buono	Buono	1,87	7	1,15	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57332 Q+	OP020 R02	Buono	Buono	1,64	4	3,04	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57314 Q+	OP040 R01	Buono	Buono	1,87	7	1,1	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57316 Q+	OP040 R01	Scarto	Difetto Interno	1,84	4	2,25	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57318 Q+	OP040 R01	Buono	Buono	1,84	7	1,24	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57254 Q+	OP040 R01	Buono	Buono	1,84	3	3,27	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57320 Q+	OP040 R01	Buono	Buono	1,81	6	1,41	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57244 Q+	OP030 R01	Buono	Buono	1,75	6	1,37	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57264 Q+	OP030 R01	Buono	Buono	1,78	4	2,12	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57222 Q+	OP050 R01	Buono	Buono	1,78	3	2,5	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57246 Q+	OP030 R01	Buono	Buono	1,78	7	1,31	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57266 Q+	OP050 R01	Buono	Buono	1,78	4	2,79	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57258 Q+	OP050 R01	Buono	Buono	1,78	5	2,05	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57248 Q+	OP050 R01	Buono	Buono	1,78	5	1,76	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57250 Q+	OP050 R01	Buono	Buono	1,81	6	1,67	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57252 Q+	OP030 R02	Buono	Buono	1,78	7	1,36	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57310 Q+	OP050 R01	Buono	Buono	1,84	3	3,2	25	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57224 Q+	OP030 R02	Buono	Buono	1,78	4	2,24	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57312 Q+	OP050 R01	Buono	Buono	1,78	4	2,66	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57220 Q+	OP050 R01	Buono	Buono	1,61	5	1,7	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57268 Q+	OP050 R01	Buono	Buono	1,81	6	1,55	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57218 Q+	OP050 R01	Buono	Buono	1,78	6	1,63	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57216 Q+	OP030 R01	Buono	Buono	1,78	3	2,89	26	N20S4.5W	SpotWeld paa	0,80+1,30
18/12/2018 09:01	520	WP57330	OP030 R03	Buono	Buono	1,46	4	3,42	26	N20S4.5W	SpotWeld paa	0,80+1,10
