Corrente;Resistenza;Tensione;Potenza
0,717514;3987,835693;2,861328;2,053043
1,507996;1868,296387;2,817383;4,248601
2,237671;1197,970703;2,680664;5,998444
2,894379;921,101196;2,666016;7,716459
3,563248;755,049866;2,690430;9,586667
4,195633;633,098755;2,656250;11,144650
4,742889;552,842407;2,622070;12,436190
5,217178;498,840363;2,602539;13,577910
5,630661;457,872528;2,578125;14,516548
5,995499;426,752441;2,558594;15,340045
6,311691;402,666077;2,541504;16,041187
6,591400;382,986023;2,524414;16,639423
6,834625;366,498932;2,504883;17,119936
7,053528;353,394196;2,492676;17,582157
7,235947;342,798096;2,480469;17,948540
7,394043;333,157227;2,463379;18,214329
7,539978;325,413849;2,453613;18,500191
7,661591;318,973938;2,443848;18,723761
7,771042;312,910492;2,431641;18,896381
7,868332;307,490021;2,419434;19,036907
7,953461;303,277954;2,412109;19,184618
8,026428;299,000031;2,399902;19,262644
8,087234;295,544373;2,390137;19,329596
8,135880;293,177155;2,385254;19,406137
8,172363;290,972107;2,377930;19,433306
8,208847;288,786652;2,370605;19,459938
8,245331;287,508850;2,370605;19,546427
8,269653;286,368011;2,368164;19,583897
8,293976;285,233856;2,365723;19,621246
8,318298;284,399841;2,365723;19,678787
8,342621;284,155975;2,370605;19,777063
8,366943;283,329926;2,370605;19,834723
8,379105;282,918701;2,370605;19,863552
8,391266;283,090576;2,375488;19,933353
8,403427;283,261932;2,380371;20,003275
8,415588;282,852600;2,380371;20,032223
8,427750;283,023834;2,385254;20,102324
8,427750;283,313507;2,387695;20,122898
8,439911;283,194550;2,390137;20,172541
8,452072;283,075928;2,392578;20,222242
8,452072;283,653625;2,397461;20,263514
8,464233;284,111389;2,404785;20,354662
8,464233;284,399841;2,407227;20,375328
8,464233;285,553589;2,416992;20,457987
8,464233;286,130463;2,421875;20,499315
8,464233;286,130463;2,421875;20,499315
8,464233;286,707336;2,426758;20,540644
8,464233;287,284210;2,431641;20,581974
8,464233;287,572662;2,434082;20,602638
8,476395;287,448090;2,436523;20,652935
8,476395;288,024139;2,441406;20,694323
8,476395;288,600189;2,446289;20,735712
8,476395;288,312164;2,443848;20,715017
8,476395;288,888214;2,448730;20,756407
8,476395;289,176239;2,451172;20,777100
8,476395;288,888214;2,448730;20,756407
8,476395;289,464264;2,453613;20,797794
8,476395;289,752289;2,456055;20,818489
8,476395;289,752289;2,456055;20,818489
8,476395;289,752289;2,456055;20,818489
8,476395;290,040314;2,458496;20,839184
8,476395;289,752289;2,456055;20,818489
8,488556;289,624786;2,458496;20,869081
8,500717;289,784821;2,463379;20,940487
8,500717;289,784821;2,463379;20,940487
8,500717;289,210419;2,458496;20,898979
8,512878;289,084076;2,460938;20,949661
8,512878;289,370850;2,463379;20,970446
8,512878;289,084076;2,460938;20,949661
8,512878;288,797272;2,458496;20,928879
8,512878;289,370850;2,463379;20,970446
8,512878;289,370850;2,463379;20,970446
8,512878;288,797272;2,458496;20,928879
8,512878;289,084076;2,460938;20,949661
8,512878;288,797272;2,458496;20,928879
